fips,state_abbr,county_name,ahrf_pop_est_2020,ahrf_pop_den_2010,ahrf_phys_pricare,ahrf_phys_total,ahrf_hosp_total,ahrf_hosp_cah,ahrf_hosp_with_ed,ahrf_hosp_with_offcampus_ed,ahrf_hosp_with_pedsed,ahrf_hosp_with_traumactr,ahrf_ed_visits,ahrf_ed_visits_per_capita,ahrf_phys_pricare_per_2000,chr_healthoutcomes_rank,chr_healthoutcomes_quartile,chr_healthfactors_rank,chr_healthfactors_quartile,chr_lengthoflife_rank,chr_lengthoflife_quartile,chr_qualityoflife_rank,chr_qualityoflife_quartile,chr_healthbehaviors_rank,chr_healthbehaviors_quartile,chr_clinicalcare_rank,chr_clinicalcare_quartile,chr_sesfactors_rank,chr_sesfactors_quartile,chr_physenv_rank,chr_physenv_quartile,svi_perc,svi_ses_perc,svi_hcd_perc,svi_msl_perc,svi_htt_perc,syn_provider_count,comm_health_needs_score
13097,GA,Douglas County,147988.0,661.8,57.0,144.0,2.0,0.0,1.0,0.0,0.0,0.0,64376.0,0.44,0.77,26.0,1.0,41.0,2.0,21.0,1.0,37.0,1.0,16.0,1.0,70.0,2.0,56.0,2.0,136.0,4.0,0.5404,0.5331,0.5345,0.873,0.2267,19.0,-2.42
13099,GA,Early County,10037.0,21.5,6.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,6753.0,0.67,1.2,157.0,4.0,136.0,4.0,155.0,4.0,157.0,4.0,146.0,4.0,121.0,4.0,119.0,3.0,114.0,3.0,0.9201,0.9449,0.9398,0.4486,0.8039,8.0,3.8
13101,GA,Echols County,4002.0,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,3.0,91.0,3.0,74.0,2.0,92.0,3.0,88.0,3.0,151.0,4.0,75.0,2.0,13.0,1.0,0.6615,0.8303,0.1477,0.8418,0.3588,0.0,0.63
13103,GA,Effingham County,65765.0,109.4,14.0,25.0,1.0,1.0,1.0,0.0,0.0,1.0,17611.0,0.27,0.43,21.0,1.0,18.0,1.0,33.0,1.0,20.0,1.0,29.0,1.0,45.0,2.0,15.0,1.0,83.0,3.0,0.2363,0.2392,0.3785,0.5377,0.1907,10.0,-4.04
13105,GA,Elbert County,19335.0,57.4,9.0,10.0,1.0,1.0,1.0,0.0,0.0,0.0,8148.0,0.42,0.93,109.0,3.0,126.0,4.0,112.0,3.0,106.0,3.0,107.0,3.0,122.0,4.0,138.0,4.0,34.0,1.0,0.8338,0.8487,0.7205,0.7982,0.5234,6.0,2.07
13107,GA,Emanuel County,22507.0,33.2,10.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,4842.0,0.22,0.89,94.0,3.0,151.0,4.0,96.0,3.0,100.0,3.0,137.0,4.0,145.0,4.0,143.0,4.0,126.0,4.0,0.9768,0.9475,0.9529,0.7889,0.8771,14.0,2.45
13109,GA,Evans County,10638.0,60.2,5.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,3747.0,0.35,0.94,120.0,4.0,114.0,3.0,106.0,3.0,134.0,4.0,125.0,4.0,114.0,3.0,103.0,3.0,93.0,3.0,0.9847,0.9516,0.9414,0.9102,0.886,6.0,2.46
13111,GA,Fannin County,26521.0,61.2,12.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,13128.0,0.5,0.9,56.0,2.0,27.0,1.0,86.0,3.0,31.0,1.0,25.0,1.0,69.0,2.0,30.0,1.0,4.0,1.0,0.3003,0.5322,0.5244,0.2977,0.1019,8.0,-3.09
13113,GA,Fayette County,115821.0,548.4,130.0,392.0,1.0,0.0,0.0,0.0,0.0,0.0,38710.0,0.33,2.24,4.0,1.0,2.0,1.0,5.0,1.0,4.0,1.0,3.0,1.0,2.0,1.0,3.0,1.0,55.0,2.0,0.0608,0.0602,0.1032,0.765,0.0181,20.0,-8.34
13115,GA,Floyd County,98604.0,188.9,136.0,343.0,2.0,0.0,1.0,0.0,0.0,1.0,124537.0,1.26,2.76,69.0,2.0,60.0,2.0,92.0,3.0,53.0,2.0,46.0,2.0,39.0,1.0,85.0,3.0,115.0,3.0,0.8854,0.7484,0.6361,0.8064,0.9389,27.0,-1.15
